'29-Feb-2024 04:02:23.002',42.34279,-71.1053,0.827,1.626,312.292,4.674
'29-Feb-2024 04:02:24.002',42.3428,-71.10531,0.785,1.651,312.292,4.668
'29-Feb-2024 04:02:25.002',42.34281,-71.10533,1.847,1.656,312.292,4.687
'29-Feb-2024 04:02:26.002',42.34282,-71.10534,2.071,1.388,312.292,4.715
'29-Feb-2024 04:02:27.002',42.34283,-71.10536,1.156,1.338,314.684,4.755
'29-Feb-2024 04:02:28.002',42.34284,-71.10538,2.49,1.343,314.684,4.789
'29-Feb-2024 04:02:29.002',42.34286,-71.10539,2.099,1.462,314.684,4.805
'29-Feb-2024 04:02:30.002',42.34286,-71.1054,1.207,1.165,314.684,4.829
'29-Feb-2024 04:02:31.002',42.34288,-71.10542,2.036,1.49,314.684,4.837
'29-Feb-2024 04:02:32.002',42.3429,-71.10545,1.093,1.742,314.684,4.881
'29-Feb-2024 04:02:33.002',42.3429,-71.10546,0.192,1.564,314.684,4.912
'29-Feb-2024 04:02:34.002',42.34292,-71.10548,1.847,1.592,314.684,4.921
'29-Feb-2024 04:02:35.002',42.34293,-71.10549,2.531,1.572,314.684,4.897
'29-Feb-2024 04:02:36.002',42.34294,-71.10551,1.357,1.711,314.684,4.873
'29-Feb-2024 04:02:37.002',42.34295,-71.10552,0.731,1.604,314.684,4.837
'29-Feb-2024 04:02:38.002',42.34296,-71.10554,1.136,1.64,314.684,4.809
'29-Feb-2024 04:02:39.002',42.34297,-71.10555,1.348,1.651,316.743,4.789
'29-Feb-2024 04:02:40.002',42.34298,-71.10557,1.634,1.655,316.743,4.781
'29-Feb-2024 04:02:41.002',42.34298,-71.10558,2.347,1.606,257.549,4.767
'29-Feb-2024 04:02:42.002',42.34298,-71.10558,2.867,1.631,246.227,4.758
'29-Feb-2024 04:02:43.002',42.34296,-71.10559,3.13,1.673,231.855,4.747
'29-Feb-2024 04:02:44.002',42.34295,-71.1056,3.161,1.692,232.357,4.738
'29-Feb-2024 04:02:45.002',42.34295,-71.10562,3.206,1.673,239.781,4.725
'29-Feb-2024 04:02:46.002',42.34294,-71.10564,3.658,1.661,240.682,4.723
'29-Feb-2024 04:02:47.002',42.34292,-71.10566,3.636,1.694,224.558,4.718
'29-Feb-2024 04:02:48.002',42.34288,-71.10571,3.729,1.688,216.371,4.704
'29-Feb-2024 04:02:49.002',42.34287,-71.10573,4.089,1.667,216.371,4.675
'29-Feb-2024 04:02:50.002',42.34285,-71.10574,3.921,1.693,216.371,4.67
'29-Feb-2024 04:02:51.002',42.34284,-71.10576,3.845,1.705,216.57,4.664
'29-Feb-2024 04:02:52.002',42.34282,-71.10577,3.838,1.683,216.57,4.659
'29-Feb-2024 04:02:53.002',42.34281,-71.10578,4.238,1.681,216.57,4.652
'29-Feb-2024 04:02:54.002',42.3428,-71.10579,4.773,1.672,216.57,4.644
'29-Feb-2024 04:02:55.002',42.34278,-71.1058,4.879,1.672,216.57,4.642
'29-Feb-2024 04:02:56.002',42.34276,-71.1058,5.157,1.675,216.57,4.639
'29-Feb-2024 04:02:57.002',42.34275,-71.10579,4.87,1.692,165.588,4.636
'29-Feb-2024 04:02:58.002',42.34275,-71.10579,4.939,1.675,151.21,4.638
'29-Feb-2024 04:02:59.002',42.34274,-71.10578,4.81,1.694,142.804,4.643
'29-Feb-2024 04:03:00.002',42.34273,-71.10578,4.974,1.693,141.818,4.653
'29-Feb-2024 04:03:01.002',42.34273,-71.10576,5.281,1.676,135.224,4.668
'29-Feb-2024 04:03:02.002',42.34271,-71.10574,4.89,1.69,135.076,4.683
'29-Feb-2024 04:03:03.002',42.3427,-71.10573,5.009,1.678,138.232,4.699
'29-Feb-2024 04:03:04.002',42.34269,-71.1057,5.154,1.651,138.896,4.716
'29-Feb-2024 04:03:05.002',42.34267,-71.10568,5.517,1.607,133.528,4.728
